id, cond, coglev, convtime, min
9, one-robot, 0, 441622, 7.360366667
12, one-robot, 0, 1184589, 19.74315
26, one-robot, 0, 429485, 7.158083333
27, one-robot, 0, 502131, 8.36885
28, one-robot, 0, 728895, 12.14825
29, one-robot, 0, 1007328, 16.7888
7, one-robot, 1, 562619, 9.376983333
8, one-robot, 1, 213581, 3.559683333
10, one-robot, 1, 483142, 8.052366667
15, one-robot, 1, 1020995, 17.01658333
16, one-robot, 1, 1021050, 17.0175
4, two-robot, 0, 1047759, 17.46265
6, two-robot, 0, 649043, 10.81738333
21, two-robot, 0, 762689, 12.71148333
22, two-robot, 0, 1058119, 17.63531667
23, two-robot, 0, 1042284, 17.3714
24, two-robot, 0, 1088900, 18.14833333
1, two-robot, 1, 937256, 15.62093333
2, two-robot, 1, 1120864, 18.68106667
5, two-robot, 1, 813429, 13.55715
17, two-robot, 1, 447579, 7.45965
18, two-robot, 1, 1039758, 17.3293
19, two-robot, 1, 439537, 7.325616667
20, two-robot, 1, 475682, 7.928033333
